Name,Users,search_provider,homepage,background,content_script,browser_action
Baby Animals HD Wallpapers Puppies-Kittens, 455 , True , False , True , False , True
Pink and Gold Wallpaper, 37 , True , False , False , False , True
The muppet show wallpaper HD, 23 , True , False , False , False , True
Computer Backgrounds, 1 , True , False , False , False , True
Super Cars HD Wallpapers Sports Cars Theme, 207 , True , False , True , False , True
New Chrono Trigger Tab, 19 , True , True , True , False , True
Tiger Wallpapers FullHD New Tab ,  , True , False , True , False , True
HD Tab, 1 , True , True , True , False , True
Barcelona FC Wallpapers Themes HD, 67 , True , False , False , False , True
Poker Game HD Wallpapers New Tab., 40 , True , False , False , False , True
Yandex Search, 109938 , True , False , True , False , True
Strona Startowa ShareInfo.pl, 114 , False , True , True , False , True
Free Eminem Wallpaper, 15 , True , True , True , False , True
KK Cedevita home, 11 , False , True , False , False , False
Inuyasha Wallpapers FullHD New Tab, 8 , True , False , True , False , True
Sexy Tab, 8933 , False , True , False , False , False
New Tab I, Tonya Background, 2 , True , True , True , False , True
Free Download Finder, 2695 , True , True , True , False , True
Full HD Ferrari GTC4Lusso T New Tab,  , True , True , True , False , True
Steep Wallpapers., 33 , True , False , False , False , True
Forest Wallpapers FullHD New Tab, 1 , True , False , True , False , True
Call of Duty  Black Ops II Game Wallpapers, 266 , True , False , False , False , True
playCenter Search, 73548 , True , False , True , False , True
Dust An Elysian Tail Wallpapers HD New Tab,  , True , False , True , False , True
Hatsune Miku Vocaloid HD Wallpapers, 61 , True , False , False , False , True
Wallpaper Boston new tab theme, 8 , True , False , False , False , True
Adventure Time Wallpapers FullHD New Tab, 1 , True , False , True , False , True
Birds Wallpapers FullHD New Tab, 1 , True , False , True , False , True
Jump - The First Query Based Web Navigation, 10 , True , False , True , False , True
Mass Effect Wallpapers FullHD New Tab, 2 , True , False , True , False , True
searchapp, 6 , True , False , True , False , False
Volkswagen Beetle New Tab, 190 , True , True , True , False , True
Ayo and Teo HD Wallpapers Hip Hop Music Theme, 51 , True , False , True , False , True
Tom Clancys Rainbow Six Game Wallpapers, 106 , True , False , False , False , True
Game Toolbar, 6 , True , True , True , False , True
New Fallout Tab, 41 , True , True , True , False , True
ddadgcdmddljmpkpinkalnepdepplpkj.json, 841285 , True , False , True , False , False
WebMate, 185 , True , True , True , False , True
Hajduk Home, 828 , False , True , False , False , False
Music Search Tool, 4863 , True , False , True , False , True
Daily Recipes, 178 , False , True , True , False , True
ElliotForWater, 79 , True , True , False , False , False
Wallpaper Scarface New Tab, 46 , True , True , True , False , True
My Movie Finder, 14 , True , False , True , False , True
Search Center, 1550 , True , False , False , False , True
nJoyPlay Search, 11986 , True , False , True , False , True
CSKA Basket Start, 75 , False , True , False , False , False
Bastion & Zenyatta Wallpapers FullHD New Tab,  , True , False , True , False , True
Metro Exodus HD Wallpapers New Tab, 25 , True , False , False , False , True
Naruto Wallpapers and New Tab, 114 , True , True , True , False , True
Judge Dredd Theme wallpaper, 7 , True , False , False , False , True
Wallpaper HD Deportivo Cali, 20 , True , False , False , False , True
Fluent Light Wallpapers FullHD New Tab, 1 , True , False , True , False , True
Clash Of Clans Wallpapers FullHD New Tab , 2 , True , False , True , False , True
startmeinweb.de, 5 , False , True , False , False , False
Rocket League Game Wallpapers FullHD New Tab, 7 , True , False , True , False , True
To Top Scroll, 16 , True , False , True , False , False
Star Trek HD Wallpapers New Tab Theme, 36 , True , False , True , False , True
Noragami Wallpapers FullHD New Tab, 7 , True , False , True , False , True
Meek Mill HD Wallpapers Hip Hop Music Theme, 8 , True , False , True , False , True
Game of Thrones Theme & NewTab, 328 , True , False , True , False , True
Ultimate Utilities, 9 , True , False , True , False , False
Fez Game Wallpapers New Tab, 2 , True , False , True , False , True
Transformers HD Wallpapers New Tab Theme, 149 , True , False , True , False , True
Googlando, 1 , True , False , True , False , True
Search Assistant, 4 , True , False , True , False , True
Tuned Cars HD Wallpapers Tuning Theme, 311 , True , False , True , False , True
Tall Guys Free search,  , True , False , False , False , False
Battle Brothers New HD Tab, 1 , True , True , True , False , True
PayDay 2 HD Wallpapers Games Theme, 144 , True , False , True , False , True
Dj Khaled Backgrounds & Themes, 2386 , True , False , True , False , True
Wallpaper HD Austin Power, 1 , True , False , False , False , True
HD Scenery landscapes Wallpapers  New Tab, 1 , True , False , True , False , True
TabiTab Search Manager, 19 , True , False , True , False , True
Star Wars The Force Unleashed New Tab, 31 , True , True , True , False , True
A Way Out HD Wallpapers New Tab Games  Theme, 25 , True , False , True , False , True
New Tab Beyond Good & Evil 2 Background, 6 , True , True , True , False , True
NK Domzale Home, 5 , False , True , False , False , False
Cityscape Wallpapers FullHD New Tab,  , True , False , True , False , True
Everythings, 13 , False , True , True , False , False
Avengers Infinity War Wallpapers & New Tab, 83 , True , False , False , False , False
Unravel Chrome Tab, 2 , True , True , True , False , True
Hot & Sexy Girls New Tab, 1671 , True , False , True , False , True
Lacrosse HD Wallpapers New Tab Sports Theme, 178 , True , False , True , False , True
Startfenster.de Suche, 141901 , True , False , True , False , True
Manchester City FC HD Wallpapers Citizens, 109 , True , False , True , False , True
HD Pony wallpapers, 47 , True , False , False , False , True
BTS Bangtan Boys HD Wallpapers K-Pop Themes, 679 , True , False , True , False , True
Quick Tab, 6433 , False , True , True , False , True
Searching+, 1 , True , False , True , False , False
New Tab Warhammer Vermintide 2 Background, 27 , True , True , True , False , True
Horses HD Wallpapers New Tab Theme, 59 , True , False , True , False , True
gw7-2, 1 , True , True , False , False , False
BVB-Home, 1824 , False , True , False , False , False
Post Malone HD Wallpapers Hip Hop Theme, 343 , True , False , True , False , True
Jackie Brown Theme wallpaper,  , True , False , False , False , True
dkipfjephaclinnhbbpmjigimebkpmbk.json, 94939 , False , True , True , False , True
ConvertToPdf, 12 , True , False , True , False , False
One Click Tv, 230 , False , True , False , False , True
Finds Day, 2 , True , False , False , False , True
Wallpaper HD Hellboy, 54 , True , False , False , False , True
Summer Vacation Wallpapers FullHD New Tab,  , True , False , True , False , True
Movies World, 5212 , True , False , True , False , True
DELETED theme wallpapers, 4 , True , False , False , False , True
Skull & Bones The Game Chrome Tab, 7 , True , True , True , False , True
Beautiful Wallpapers, 1 , True , False , False , False , True
Free Zelda Wallpaper, 64 , True , True , True , False , True
